data,mean,temp_arg,temp_arg_max,temp_arg_min
2021-10-14,15745.583333333334,13.7,18.26666667,9.133333333
2021-10-15,15699.624999999998,12.4,16.53333333,8.266666667
2021-10-16,14038.458333333334,14.2,18.933333330000004,9.466666667
2021-10-17,12629.958333333336,16.8,22.4,11.2
2021-10-18,14402.958333333332,15.4,20.53333333,10.26666667
2021-10-19,15443.124999999998,13.1,17.46666667,8.733333333
2021-10-20,16393.125,16.7,22.26666667,11.133333330000001
2021-10-21,16419.666666666668,21.2,28.26666667,14.133333330000001
2021-10-22,16283.166666666664,18.4,24.53333333,12.26666667
2021-10-23,15286.45833333333,16.5,22.0,11.0
2021-10-24,13784.791666666664,16.2,21.6,10.8
2021-10-25,16670.499999999996,21.7,28.93333333,14.46666667
2021-10-26,17268.708333333332,22.2,29.6,14.8
2021-10-27,18104.416666666664,25.4,33.86666667,16.93333333
2021-10-28,19407.29166666667,27.2,36.26666667,18.133333329999996
2021-10-29,20361.625,25.4,33.86666667,16.93333333
2021-10-30,18452.291666666664,25.6,34.13333333,17.06666667
2021-10-31,15683.458333333334,16.6,22.13333333,11.06666667
2021-11-01,16197.833333333334,15.6,20.8,10.4
2021-11-02,16325.874999999998,17.8,23.73333333,11.866666669999999
2021-11-03,16199.833333333332,20.4,27.2,13.6
2021-11-04,16012.416666666666,22.8,30.4,15.2
2021-11-05,15672.25,16.5,22.0,11.0
2021-11-06,14463.41666666667,15.4,20.53333333,10.26666667
2021-11-07,13043.666666666668,17.7,23.6,11.8
2021-11-08,15623.45833333333,21.2,28.26666667,14.133333330000001
2021-11-09,17203.708333333336,19.4,25.86666667,12.93333333
2021-11-10,17173.83333333333,19.5,26.0,13.0
2021-11-11,17297.999999999996,20.6,27.46666667,13.73333333
2021-11-12,16841.208333333332,20.3,27.06666667,13.53333333
2021-11-13,15245.125,21.6,28.8,14.4
2021-11-14,12917.125,19.7,26.26666667,13.13333333
2021-11-15,15376.625000000002,21.9,29.2,14.6
2021-11-16,14746.16666666667,16.9,22.53333333,11.26666667
2021-11-17,14791.958333333332,14.3,19.06666667,9.533333333
2021-11-18,15036.625,18.2,24.26666667,12.133333330000001
2021-11-19,15797.75,21.3,28.4,14.2
2021-11-20,16182.416666666668,20.6,27.46666667,13.73333333
2021-11-21,15999.916666666666,29.0,38.66666667,19.33333333
2021-11-22,17643.791666666668,27.8,37.06666667,18.53333333
2021-11-23,18186.874999999996,18.7,24.93333333,12.46666667
2021-11-24,18020.208333333332,24.1,32.13333333,16.06666667
2021-11-25,17849.5,21.1,28.133333329999996,14.06666667
2021-11-26,18088.166666666668,21.6,28.8,14.4
2021-11-27,16794.83333333333,22.3,29.73333333,14.866666669999999
2021-11-28,14116.124999999998,19.1,25.46666667,12.73333333
2021-11-29,15355.125000000002,20.3,27.066666669999996,13.53333333
2021-11-30,15832.208333333332,18.9,25.2,12.6
2021-12-01,16164.166666666666,18.1,24.13333333,12.06666667
2021-12-02,16732.958333333336,19.7,26.26666667,13.13333333
2021-12-03,17169.333333333336,20.7,27.6,13.8
2021-12-04,15599.95833333333,19.9,26.53333333,13.26666667
2021-12-05,13721.125,19.2,25.6,12.8
2021-12-06,16049.625000000004,20.8,27.73333333,13.86666667
2021-12-07,17329.208333333336,23.5,31.33333333,15.66666667
2021-12-08,16932.291666666668,23.1,30.8,15.4
